aircraft_name,pax_avg
Airbus A220-100 Passenger,125
Airbus A220-300,160
Airbus A318/319/320/321,160
Airbus A319,156
Airbus A320,160
Airbus A320 NEO,160
Airbus A321,220
Airbus A330-200 freighter,380
Airbus A330-300 Freighter,277
Airbus A330-900,375
Airbus A340-300,385
Airbus A340-600,419
Airbus A350,495
Airbus A350-900,378
Airbus A380-800,568
Airbus А300-600,278
Airbus А310-300,280
Airbus А318,120
Airbus А320,160
Airbus А321,205
Airbus А330,347
Airbus А330-200,380
Airbus А330-300,380
Airbus А340,400
ATR 42/ATR 72  FR/IT,50
ATR 42-300/320,48
ATR 72,75
ATR 72 freighter,76
ATR-42-500,52
Boeing 737,189
Boeing 737-300,149
Boeing 737-400,160
Boeing 737-500,132
Boeing 737-600,137
Boeing 737-700,132
Boeing 737-800,178
Boeing 737-900,220
Boeing 747 Cargo,0
Boeing 757-200,230
Boeing 757-300,262
Boeing 767,278
Boeing 767-200/200ЕР,218
Boeing 767-300,284
Boeing 767-400,326
Boeing 777-200,350
Boeing 777-200LR,428
Boeing 777-300,550
Boeing 777-300ER,415
Boeing 787,350
Boeing 787-800,375
Boeing 787-900,375
Bombardier CRJ1000,104
Bombardier CRJ200,50
Canadair reg jet 700,78
Canadair regional jet,50
Canadair Regional Jet 900,50
Canadair RJ-100,100
DeHavilland Dash 8 Q400,74
DeHavilland DHC-6 T,19
Embraer 170,72
Embraer 170/190,72
Embraer 175,83
Embraer 190,100
Embraer 195,116
Embraer EMB 175,83
Embraer RJ145,50
Falcon 900,14
Let L-410,19
АН-24,50
АН-26,40
АН-38,27
Сухой Суперджет 100,98
ТУ-204,185
ЯК-40,32
ЯК-42,120
